-1.79,0,68,2,2,1,2,4,30,3.1,625.78946,0
1.33,1.88,69,2,2,1,4,5,44,3.5,886.842082,1
-0.11,-0.57,69,2,2,1,2,4,29,3.5,649.999987,1
1.22,0.95,58,1,2,1,3,5,35,3,694.736825,0
0.88,0,51,1,2,1,2,4,39,2.9,747.894717,0
0.63,0.37,68,2,1,1,4,3,37,3.4,766.315771,1
0.67,0.34,67,2,2,1,4,4,43,3.3,851.052609,1
1.23,0.92,65,2,1,1,2,4,37,2.6,686.315771,0
-0.67,-1.3,64,2,2,1,5,4,41,3.3,819.473663,1
-1.73,-1.34,66,2,1,1,3,4,24.5,2.2,448.9473585,1
-0.32,-0.38,68,2,2,1,3,4,34,3.3,708.947352,1
-0.92,-0.72,64,2,1,1,2,4,35,3.2,714.736825,0
-0.05,-0.03,56,2,2,1,4,3,40,2.4,713.68419,1
-1.1,0,68,2,2,1,2,4,31,2.9,621.578933,0
0,0,69,2,1,2,6,3,37,3.6,786.315771,1
0.73,0.94,62,2,2,1,4,3,35,2.9,684.736825,1
-1.82,0,54,2,1,2,4,2,17,3.1,420.526311,0
0,0,67,2,2,1,6,4,33,3.3,693.157879,1
0,0,69,2,1,1,4,4,35,3.3,724.736825,0
-0.59,-1.49,53,2,2,1,3,3,28,2.4,524.210514,1
-3.22,0,60,2,1,2,1,3,26,2.5,502.631568,0
-0.76,-0.56,69,2,2,1,5,4,32.5,3.2,675.2631425,1
1.04,1.09,66,2,1,1,1,3,32.5,2.4,595.2631425,1
0.56,0.87,64,2,2,2,1,3,23,2.8,485.263149,1
-0.23,-0.72,69,2,2,1,3,3,37,2.8,706.315771,1
1.08,0.88,64,2,2,1,6,3,41,3.9,879.473663,1
-0.69,-0.45,65,2,2,2,6,4,40,2.8,753.68419,1
0.58,0.53,68,2,2,1,3,4,30,3.3,645.78946,1
0.67,0.4,70,2,1,1,4,4,40,3.7,843.68419,1
-1.8,-1.13,68,2,1,1,3,4,22,2.7,459.473676,1
1.94,0.98,69,2,2,1,5,4,48,3.7,969.999974,1
-0.53,-1.05,68,2,2,1,3,4,36,2.9,700.526298,1
-0.67,-0.9,68,2,2,3,4,3,36,3.1,720.526298,1
-2.84,0,63,2,1,2,3,2,20,2.1,367.89473,0
-0.64,-1.12,65,2,1,1,3,1,36,3.5,760.526298,1
0.64,-0.1,68,2,1,1,4,3,45,3,852.631555,1
2.4,3.22,62,2,1,1,1,3,35,2.6,654.736825,1
-0.15,0,52,2,1,1,3,4,39,3.3,787.894717,0
0,0,68,2,2,3,6,4,47,4,984.210501,1
-0.6,-1.63,67,2,1,1,5,2,36,3.4,750.526298,1
0,0,69,2,2,3,6,4,48,3.7,969.999974,1
1.27,0.87,69,2,2,1,4,4,46,3.8,948.421028,1
1.02,0.73,59,1,1,1,5,3,39,3.1,767.894717,1
-0.38,-1.1,66,2,2,2,4,2,37,3,726.315771,0
1.5,0,68,2,1,1,6,4,42,3.8,885.263136,0
-0.39,-0.07,69,2,2,1,3,3,39,2.7,727.894717,1
2.88,2.87,66,2,2,1,5,3,39,4,857.894717,1
0.14,0.53,68,2,2,1,3,3,38,3,742.105244,1
1.68,1.33,59,2,1,1,4,3,32,4,747.368406,1
0.34,-0.49,58,2,1,1,3,4,39,3.5,807.894717,1
0,0,67,2,1,1,6,2,41,3.1,799.473663,1
-1.08,-1.46,64,2,1,2,5,3,29,2.5,549.999987,1
1.02,0.76,68,2,1,1,5,4,48,3.5,949.999974,1
-1.4,-1.08,68,2,2,3,3,3,27,2.5,518.421041,1
-1.04,-1.49,69,2,1,3,4,4,31,2.6,591.578933,1
1.51,1.69,68,2,2,1,4,3,45,3.7,922.631555,1
-0.45,-0.04,68,2,1,1,6,4,36,3.9,800.526298,1
-1.14,-0.93,67,2,1,3,4,4,34,2.5,628.947352,0
0.27,-0.98,67,2,1,1,4,3,35,3.8,774.736825,1
-0.67,-0.28,68,2,1,3,5,3,35,3.1,704.736825,1
-1.5,-2.18,67,2,1,1,6,4,36,3.9,800.526298,1
-1.06,-1.13,67,2,1,1,4,3,42,3.3,835.263136,1
1.66,1.52,66,2,2,1,4,3,30,3.7,685.78946,1
0.6,1.72,69,2,2,1,5,3,25,3.7,606.842095,1
-0.37,-1.04,69,2,2,1,5,3,31.5,3.6,699.4736695,1
-0.93,-1.29,64,2,1,1,5,3,28,2.8,564.210514,0
0.82,0.72,68,2,1,1,4,5,40,3.2,793.68419,1
0.34,0,69,2,1,1,6,3,45,3.7,922.631555,1
-0.64,-0.12,68,2,2,1,3,4,40,3.5,823.68419,1
0.44,0.53,69,2,2,1,4,3,41,3.7,859.473663,1
0.96,0.45,69,2,2,1,3,3,34,3.5,728.947352,1
0.33,0,69,2,2,1,4,3,36,3.8,790.526298,0
-1.57,0,67,2,1,1,4,4,32,3.5,697.368406,0
0.45,0.22,69,2,1,1,4,4,39,3.4,797.894717,1
-0.45,-0.27,67,2,2,3,5,5,38,3,742.105244,1
-0.16,-0.19,66,2,1,1,6,5,41,3.2,809.473663,1
0.55,0.08,64,2,2,3,2,4,31,3.3,661.578933,1
